image_path centroid_x centroid_y angle
MIA_L0001/frame00004.bmp 49.6325 65.8675 30.0302
MIA_L0001/frame00005.bmp 49.3276 66.3788 42.9935
MIA_L0001/frame00006.bmp 49.9735 65.9248 43.1918
MIA_L0001/frame00007.bmp 49.2863 66.8091 41.2683
MIA_L0001/frame00008.bmp 49.5060 66.4659 37.9541
MIA_L0001/frame00009.bmp 49.2078 66.7176 21.1369
MIA_L0001/frame00010.bmp 48.3094 66.5125 37.1641
MIA_L0001/frame00011.bmp 49.5556 67.1111 42.2191
MIA_L0001/frame00012.bmp 50.0580 67.5072 50.9554
MIA_L0001/frame00013.bmp 48.5769 66.1122 33.3565
MIA_L0001/frame00014.bmp 51.1319 66.3542 30.3342
MIA_L0001/frame00015.bmp 49.5074 67.1630 37.3929
MIA_L0001/frame00016.bmp 49.6409 67.5946 25.4959
MIA_L0001/frame00017.bmp 49.8750 67.7411 26.9660
MIA_L0001/frame00018.bmp 49.3623 66.8151 32.0892
MIA_L0001/frame00022.bmp 51.7529 71.7922 -87.3209
MIA_L0001/frame00023.bmp 51.6244 70.6056 85.3924
MIA_L0001/frame00024.bmp 51.0790 71.8557 -78.5350
MIA_L0001/frame00025.bmp 52.2585 71.4449 83.8064
MIA_L0001/frame00026.bmp 52.0921 70.0614 81.5031
MIA_L0001/frame00027.bmp 51.8145 70.1312 -88.7957
MIA_L0001/frame00028.bmp 51.8387 69.7373 82.3299
MIA_L0001/frame00029.bmp 52.3070 70.4561 86.2265
MIA_L0001/frame00030.bmp 52.1943 71.5901 89.5033
MIA_L0001/frame00031.bmp 52.3102 71.0122 86.5525
MIA_L0001/frame00032.bmp 51.2110 73.8636 -81.2383
MIA_L0001/frame00033.bmp 52.2415 71.3774 -87.1240
MIA_L0001/frame00034.bmp 51.9380 71.3759 87.7120
MIA_L0001/frame00035.bmp 51.9066 72.8833 -85.7767
MIA_L0001/frame00036.bmp 52.2523 70.8243 79.6974
MIA_L0001/frame00040.bmp 40.2286 25.6571 68.9709
MIA_L0001/frame00041.bmp 13.1250 58.8750 45.0000
MIA_L0001/frame00042.bmp 55.6212 71.2083 38.3532
MIA_L0001/frame00046.bmp 56.2411 67.8156 29.5330
MIA_L0001/frame00047.bmp 56.9212 68.2226 23.3192
MIA_L0001/frame00048.bmp 56.6858 68.4823 41.9220
MIA_L0001/frame00049.bmp 56.8996 68.4444 27.9912
MIA_L0001/frame00050.bmp 56.7148 68.9261 26.6844
MIA_L0001/frame00051.bmp 56.3612 68.5285 27.6357
MIA_L0001/frame00052.bmp 55.6063 68.3819 39.5506
MIA_L0001/frame00053.bmp 55.3739 68.0609 24.7295
MIA_L0001/frame00054.bmp 53.8491 65.5175 70.2445
MIA_L0001/frame00055.bmp 57.4572 68.8699 19.4900
MIA_L0001/frame00056.bmp 55.8309 69.4228 26.3809
MIA_L0001/frame00057.bmp 55.2926 68.6519 31.0318
MIA_L0001/frame00058.bmp 56.2023 67.8931 46.0984
MIA_L0001/frame00065.bmp 34.6944 56.5278 73.3924
MIA_L0001/frame00066.bmp 53.2304 64.5435 79.2875
MIA_L0001/frame00067.bmp 54.0301 64.3797 81.2305
MIA_L0001/frame00068.bmp 53.5144 63.1534 86.4661
MIA_L0001/frame00069.bmp 44.2500 103.7500 82.9819
MIA_L0001/frame00070.bmp 53.5709 63.9474 86.3906
MIA_L0001/frame00071.bmp 53.0394 63.4875 86.8468
MIA_L0001/frame00072.bmp 53.7831 63.3272 -83.2924
MIA_L0001/frame00073.bmp 54.5428 62.9211 -85.5466
MIA_L0001/frame00074.bmp 53.3596 64.7061 80.9182
MIA_L0001/frame00075.bmp 52.6857 63.4980 80.1726
MIA_L0001/frame00076.bmp 52.6533 64.2756 78.6256
MIA_L0001/frame00077.bmp 53.6689 63.1115 86.7848
MIA_L0001/frame00080.bmp 50.9222 64.5749 66.2917
MIA_L0001/frame00090.bmp 52.8065 67.2258 65.3461
MIA_L0001/frame00091.bmp 58.8290 66.1429 -23.6316
MIA_L0001/frame00094.bmp 2.2174 111.8696 -87.4539
MIA_L0001/frame00095.bmp 45.0489 69.4090 -8.0445
MIA_L0001/frame00099.bmp 56.3670 66.5474 -3.9510
MIA_L0001/frame00100.bmp 60.1437 64.8968 -24.6203
MIA_L0001/frame00101.bmp 59.2791 65.7481 -30.1539
MIA_L0001/frame00105.bmp 44.8194 70.4151 -2.2984
MIA_L0001/frame00106.bmp 46.0357 70.0333 1.6201
MIA_L0001/frame00107.bmp 45.2528 70.1086 -4.1516
MIA_L0001/frame00108.bmp 46.0837 70.4208 -2.9655
MIA_L0001/frame00112.bmp 48.6259 46.6763 -17.6961
MIA_L0001/frame00113.bmp 60.3835 65.8962 -25.2451
MIA_L0001/frame00114.bmp 59.4658 66.5651 -23.6975
MIA_L0001/frame00115.bmp 59.5898 66.7295 -18.0790
MIA_L0001/frame00116.bmp 56.6062 67.0570 -23.0766
MIA_L0001/frame00119.bmp 47.2216 69.9189 0.8486
MIA_L0001/frame00120.bmp 43.7711 70.5244 -5.8248
MIA_L0001/frame00121.bmp 42.7985 70.9793 -9.5609
MIA_L0001/frame00122.bmp 43.1437 71.3993 -10.8586
MIA_L0001/frame00123.bmp 47.4460 69.6012 -7.3987
MIA_L0001/frame00124.bmp 41.4259 71.3648 -8.9884
MIA_L0001/frame00128.bmp 59.7862 66.4570 -17.7380
MIA_L0001/frame00129.bmp 59.6848 66.5630 -22.6930
MIA_L0001/frame00130.bmp 60.1543 66.7572 -19.3737
MIA_L0001/frame00131.bmp 61.2012 66.5562 -16.5549
MIA_L0001/frame00132.bmp 58.9367 66.8846 -21.2401
MIA_L0001/frame00133.bmp 59.4254 66.0121 -25.9009
MIA_L0001/frame00136.bmp 52.9101 69.2697 68.1506
MIA_L0001/frame00137.bmp 44.9576 70.6292 -3.7832
MIA_L0001/frame00138.bmp 45.1375 70.3352 -3.6976
